"source_id";"date";"description";"pollutant_ppm";"biological";"results"
"KiRu28935224";"2021-01-04 09:17:00";"Bacteria: Giardia Lamblia";0.0;495.898;"Contaminated: Biological"
"AkLu01628224";"2021-01-04 09:53:00";"Bacteria: E. coli";0.0;6.09608;"Contaminated: Biological"
"HaZa21742224";"2021-01-04 10:37:00";"Inorganic contaminants: Zinc, Zinc, Lead, Cadmium";2.715;0.0;"Contaminated: Chemical"
"HaRu19725224";"2021-01-04 11:04:00";"Clean";0.0288593;9.56996e-05;"Clean"
"SoRu35703224";"2021-01-04 11:29:00";"Bacteria: E. coli";0.0;22.5009;"Contaminated: Biological"
"AkHa00070224";"2021-01-04 11:42:00";"Inorganic contaminants: Cadmium";5.46739;0.0;"Contaminated: Chemical"
"HaSe21346224";"2021-01-04 11:52:00";"Clean";0.0140376;8.98989e-05;"Clean"
"HaYa21468224";"2021-01-04 12:03:00";"Inorganic contaminants: Chromium, Barium, Chromium, Lead";6.05137;0.0;"Contaminated: Chemical"
"SoRu36278224";"2021-01-04 12:24:00";"Parasite: Cryptosporidium";0.0;485.162;"Contaminated: Biological"
"AkLu02155224";"2021-01-04 12:29:00";"Inorganic contaminants: Selenium, Arsenic";7.64106;0.0;"Contaminated: Chemical"
"AkRu06938224";"2021-01-04 12:56:00";"Inorganic contaminants: Silver, Zinc, Zinc, Lead";1.99096;0.0;"Contaminated: Chemical"
"AkRu05825224";"2021-01-04 13:07:00";"Inorganic contaminants: Silver";5.89926;0.0;"Contaminated: Chemical"
"AkRu05973224";"2021-01-04 13:44:00";"Clean";0.084344;6.2396e-05;"Clean"
"SoRu36313224";"2021-01-04 13:46:00";"Bacteria: Vibrio cholerae";0.0;182.88;"Contaminated: Biological"
"KiMr24968224";"2021-01-04 13:52:00";"Bacteria: E. coli";0.0;44.2164;"Contaminated: Biological"
"KiRu27916224";"2021-01-04 14:19:00";"Inorganic contaminants: Zinc";1.06885;0.0;"Contaminated: Chemical"
"SoRu35508224";"2021-01-04 14:49:00";"Inorganic contaminants: Chromium, Zinc";4.15909;0.0;"Contaminated: Chemical"
"AkHa00706224";"2021-01-04 16:10:00";"Clean";0.0862577;4.22834e-05;"Clean"
"AkHa00465224";"2021-01-04 16:28:00";"Inorganic contaminants: Lead, Mercury, Copper";4.97264;0.0;"Contaminated: Chemical"
"SoRu39241224";"2021-01-04 16:40:00";"Inorganic contaminants: Copper";1.28796;0.0;"Contaminated: Chemical"
"HaRu20773224";"2021-01-07 09:08:00";"Clean";0.0599682;2.42289e-05;"Clean"
"SoRu39205224";"2021-01-07 09:59:00";"Inorganic contaminants: Barium";8.10898;0.0;"Contaminated: Chemical"
"HaDj16683224";"2021-01-07 10:16:00";"Virus: Hepatitis A Virus";0.0;96.6341;"Contaminated: Biological"
"HaRu18434224";"2021-01-07 11:16:00";"Bacteria: Shigella";0.0;318.664;"Contaminated: Biological"
"AkRu04914224";"2021-01-07 11:35:00";"Clean";0.050281;9.42943e-05;"Clean"
"HaSe20931224";"2021-01-07 11:46:00";"Clean";0.0224843;9.87848e-05;"Clean"
"AkRu04543224";"2021-01-07 12:20:00";"Inorganic contaminants: Copper, Mercury, Lead, Cadmium";3.94125;0.0;"Contaminated: Chemical"
"KiAm22119224";"2021-01-07 12:34:00";"Inorganic contaminants: Selenium, Selenium, Zinc, Chromium";2.17517;0.0;"Contaminated: Chemical"
"AkLu02211224";"2021-01-07 12:49:00";"Bacteria: E. coli";0.0;3.57905;"Contaminated: Biological"
"HaDe16499224";"2021-01-07 12:53:00";"Parasite: Cryptosporidium";0.0;485.162;"Contaminated: Biological"
"SoRu39347224";"2021-01-07 12:54:00";"Inorganic contaminants: Selenium, Silver";7.07203;0.0;"Contaminated: Chemical"
"AmAm09579224";"2021-01-07 13:02:00";"Clean";0.0830754;1.10413e-05;"Clean"
"SoCh32247224";"2021-01-07 14:23:00";"Inorganic contaminants: Barium, Arsenic, Zinc";2.8855;0.0;"Contaminated: Chemical"
"HaRu20738224";"2021-01-07 14:57:00";"Bacteria: E. coli";0.0;35.2462;"Contaminated: Biological"
"HaAm16229224";"2021-01-07 15:10:00";"Inorganic contaminants: Mercury";2.43936;0.0;"Contaminated: Chemical"
"HaRu20104224";"2021-01-07 15:17:00";"Inorganic contaminants: Copper, Barium";5.30061;0.0;"Contaminated: Chemical"
"KiHa23405224";"2021-01-07 15:29:00";"Clean";0.0633972;5.88518e-05;"Clean"
"KiRu27870224";"2021-01-07 15:46:00";"Bacteria: Shigella";0.0;318.664;"Contaminated: Biological"
"AmDa11574224";"2021-01-07 15:51:00";"Clean";0.0290295;6.11353e-05;"Clean"
"HaDj16798224";"2021-01-07 16:30:00";"Inorganic contaminants: Silver, Zinc";9.30166;0.0;"Contaminated: Chemical"
